Id,Name,Type,Address
b5a757fc-ad10-43d9-9992-244b45d2f692,투썸플레이스  과천시3호점,투썸플레이스,경기도 과천시 46로 65
22a02855-e5b1-4580-b433-cf6544d8f2d1,   커피빈  아산시7호점,   커피빈,전라북도 아산시 62길 80
69f5155f-9c8d-48d3-9e5a-af3b5a01121b,   커피빈  괴산군6호점,   커피빈,충청남도 괴산군 85길 06
5ee2603e-fe40-48e2-bc93-c1d9658abba4,  스타벅스  보은군1호점,  스타벅스,충청남도 보은군 31길 30
00517c92-e7f0-4525-8341-77bfa0d15647,  탐앤탐스   중구5호점,  탐앤탐스,인천시 중구 92길 47
f29cd6bf-afc4-47fc-bfb4-27ea5f18352e,  메가커피   서구7호점,  메가커피,대전시 서구 41로 26
b94e1072-7dbf-47fe-8f82-89c42119f0dd,  메가커피   북구8호점,  메가커피,울산시 북구 94로 03
d910496c-5227-4116-b34f-12281485a09d,  탐앤탐스  영양군2호점,  탐앤탐스,경상남도 영양군 45길 70
915173bb-2ef2-4e67-bfcc-49251db2d241,  메가커피  영주시6호점,  메가커피,경상남도 영주시 49길 10
ea1dbb50-74c0-4230-95f8-e4d2236e7bf5,투썸플레이스  울주군5호점,투썸플레이스,울산시 울주군 59로 19
065dbf82-1ce3-4951-9e29-455ff5bdc485,투썸플레이스  세종시2호점,투썸플레이스,세종시 세종시 46길 34
288e836d-78b7-4295-8730-7121ec9c0346,   이디야  공주시3호점,   이디야,전라북도 공주시 45로 92
fb4db963-21a5-4d5b-b8bb-ad8578db51fe,   커피빈  세종시1호점,   커피빈,세종시 세종시 81로 70
57de8ac7-2ae7-4ca2-98cc-2660e7363078,   커피빈  화성시8호점,   커피빈,경기도 화성시 80길 37
4f4abd6f-b5f5-45dd-973a-78ff34cd14c8,   커피빈  함양군3호점,   커피빈,강원도 함양군 93길 17
f4183572-08b4-467b-ab78-b353be79eb1f,  메가커피  세종시7호점,  메가커피,세종시 세종시 67길 05
2b7b3091-66e1-4ce4-89d0-94690bb5416a,  탐앤탐스  상주시6호점,  탐앤탐스,경상남도 상주시 70로 07
9717e8fb-efc5-4de6-a1a8-3a0381b18194,   커피빈  청주시5호점,   커피빈,충청남도 청주시 10로 06
b0a8cc35-a6b9-43a6-b6f0-99c271afd8fd,  메가커피  세종시3호점,  메가커피,세종시 세종시 87길 05
1faac354-0d9c-4d25-92d1-d1fb83cecf40,  탐앤탐스  김제시2호점,  탐앤탐스,전라남도 김제시 22길 17
9ad18d77-b4e1-405f-b1fb-419d9c633a7f,   이디야  세종시7호점,   이디야,세종시 세종시 53길 21
a871dd8b-cd94-4163-9e0f-13e955bd9d73,   커피빈   북구5호점,   커피빈,울산시 북구 08로 83
aa979aa5-8c44-463d-bd03-61d9b5b436f1,  스타벅스  예천군6호점,  스타벅스,경상남도 예천군 19길 64
b7566317-db16-4589-bdd9-dfca50f97a17,  스타벅스  무주군4호점,  스타벅스,전라남도 무주군 27길 18
1c84dbcf-9b28-4fd3-97f8-93eee7e9d054,  메가커피   중구5호점,  메가커피,대구시 중구 88길 40
cdcaf3ef-0577-482e-a836-b310c5e68a57,  메가커피  화천군5호점,  메가커피,충청북도 화천군 19길 99
74da5506-4ea6-4440-b308-dae02b397279,   커피빈   동구8호점,   커피빈,울산시 동구 70길 45
77e18c38-33f8-41a4-b30e-1e202611c36d,  스타벅스  대덕구7호점,  스타벅스,광주시 대덕구 34길 89
11b9c045-bd4b-420d-b398-809b60e9a124,   이디야  강남구7호점,   이디야,서울시 강남구 02로 88
32c4c334-d1cb-4cda-9ef2-d3f0d5062ad8,   커피빈  영양군4호점,   커피빈,경상남도 영양군 78로 02
a45542cd-34fd-4d88-ad48-27d6cc771045,   이디야 서귀포시6호점,   이디야,제주도 서귀포시 32길 64
d2308188-40f8-4bff-8d89-0054b1f6d6a4,  스타벅스  영광군2호점,  스타벅스,경상북도 영광군 64길 33
8f457f17-b6ca-4bc9-af7b-0736fe1e7fe0,   이디야   중구1호점,   이디야,부산시 중구 20길 77
559dfffc-5c49-4c68-bbea-11a2c224db6f,   이디야  연제구7호점,   이디야,부산시 연제구 56길 94
00eddc61-2d1f-43c3-9c6b-6f18c87d30b1,   이디야  옹진군3호점,   이디야,대구시 옹진군 13로 42
a150ecc2-86a9-4086-8bf9-421d8397480a,   이디야  의왕시5호점,   이디야,경기도 의왕시 80길 71
c2544ce3-e7dc-4a85-a139-7e9981328360,투썸플레이스  울주군2호점,투썸플레이스,울산시 울주군 57로 87
27936b68-0b3a-47fd-993b-aaa4d1ff974e,   커피빈  달성군7호점,   커피빈,인천시 달성군 10로 03
000e3643-af35-47fc-a89a-a8789d1715a1,  탐앤탐스  유성구1호점,  탐앤탐스,광주시 유성구 86로 59
c5cc822c-d704-4eb6-9118-4aa8bfeb05fb,   커피빈  청주시8호점,   커피빈,충청남도 청주시 97길 53
458fd01d-a4e7-43df-8934-02fde8fc2ea2,  메가커피  서대문3호점,  메가커피,서울시 서대문 05길 12
