Id,OrderAt,StoreId,UserId
d067fdf6-872a-45c2-9141-44516a603e05,2023-12-22 05:10:43,9a90a607-9ad2-4630-8447-e790d7f31f43,4b5bb27b-c5b8-4443-a742-fcec16fe3131
bba9b2cd-59b8-4673-91f7-3214223a93cb,2023-08-13 00:39:46,61a0eb9e-e276-4b68-bf8f-681847cfe852,7d46439f-52d6-435a-b7b8-175a537c15ed
8790895a-69ef-4674-9110-d1c69a4d11ac,2023-11-22 03:51:41,80abd6db-8d28-4a0d-8ca1-283b84f094cf,894eb1fa-42d0-44ef-9ee8-49732ba67087
d5fe74a1-3d22-4dbd-be1e-4789a73c3c7a,2023-01-31 14:60:16,77b49bb3-7b0d-4773-84ba-f6748e7677a6,2034d652-5cc4-4caf-b67d-458e2901b5d7
10efadcc-c799-4625-99c6-7e13526c6ac1,2023-02-06 24:40:34,74955933-4673-42b6-a49f-a855a51921fd,956ab22f-beda-490c-a498-c085a16ccb08
481ec27d-2620-43ff-b54d-105d0bbc8985,2023-06-05 19:01:27,7cbf2ef9-3ee0-4f0d-a484-f08a7a2ecb0d,ff720e1b-2f75-4570-a5d0-899f2c4fb595
e5688275-2066-4d73-82ab-33b99ce71827,2023-08-10 12:11:43,83aebb4d-7253-4604-ae6e-c96e1ca7ddf5,d3c36d27-9b72-49c1-a62d-87fd35a17647
72d0b539-553b-42dd-bbc2-98a4588967d6,2023-08-26 04:33:49,3d1817e4-a8f0-4036-9059-453e9c242aeb,08161574-ba6b-45bc-b284-35b28dfedc48
e8bc33b0-596f-43bf-a2bc-fbce793a58ec,2023-12-18 08:17:30,01304aa5-f11e-49ba-87b6-274436dea9b1,1d7ae365-b844-434d-b3f6-4effff85a6c9
5515d397-64f9-4ae0-9938-d51607c868ba,2023-03-12 24:60:57,f5bd5dc6-cdbe-4a9e-b2ed-c0ca2f16a321,82d940c7-332b-4967-8711-7aca6e40b290
8c47eba6-d6c0-47d2-a470-3128da28c3d6,2023-07-03 11:02:15,ebfd5442-47c8-4308-80f8-de90096ab695,2dc2f743-fc20-4e01-a9ce-29d5d6a983d4
e3a55c04-c1b3-4682-bdca-3a44ab0dfc76,2023-05-14 11:20:55,359ace93-8d27-4a2b-8a74-f0a99b0c2363,a6b343b8-432a-4836-a106-ce574631caba
94d52cc5-8144-4210-9a39-418d42ce71f4,2023-07-21 16:26:02,6f03db55-a328-4a12-b451-81452f706d2f,c6a4ce4e-448e-4f5b-8d5e-547de6d77055
b8c57373-2f4b-40af-aeda-c3d785ced2aa,2023-04-31 15:44:47,42ac826a-835d-458e-83c4-f2d2ba6b84c5,44a078f1-358a-4290-8c34-f2ea7e992267
9d1a137b-4ac2-4da6-b9e9-7752dfa728de,2023-05-13 03:35:45,6e9722e9-ffd5-4633-8a96-d6bc864d199c,f1a2e78a-4bbf-4c0d-98bb-477283c173a0
9ce57431-db65-410e-8d31-9ea21e0202e4,2023-05-03 15:27:55,344944bb-e3e4-4473-a0c4-db3738c4ff37,7aa0b84f-d7d4-4f0d-9641-61e73b797f9a
55b267f8-d689-4d79-8676-884f8b094ea8,2023-11-16 04:59:22,c3c2023c-b9ee-48a7-83ba-211d44a4860c,fd2f20e7-ebac-4b02-b05c-8262fdec4c16
